Index,Species,Bin,ef
124,PM2.5,8,0.001150977
124,PM2.5,9,0.000336116
125,CO,1,0.00235928
125,CO,10,0.006102795
125,CO,11,0.006693599
125,CO,12,0.00770958
125,CO,13,0.008399203
125,CO,14,0.010639531
125,CO,15,0.013774074
125,CO,16,0.013897596
125,CO,17,0.010955331
125,CO,18,0.012726678
125,CO,19,0.012243623
125,CO,2,0.003242207
125,CO,20,0.018323275
125,CO,21,0.016311423
125,CO,22,0.023379353
125,CO,23,0.019121514
125,CO,3,0.004908615
125,CO,4,0.006310967
125,CO,5,0.00679804
125,CO,6,0.008135917
125,CO,7,0.009466566
125,CO,8,0.013216529
125,CO,9,0.004319867
125,HC,1,0.001114924
125,HC,10,0.002592016
125,HC,11,0.002918792
125,HC,12,0.003261038
125,HC,13,0.003494971
125,HC,14,0.003545468
125,HC,15,0.003562099
125,HC,16,0.003848902
125,HC,17,0.003930277
125,HC,18,0.005401687
125,HC,19,0.004788421
125,HC,2,0.000914449
125,HC,20,0.004328954
125,HC,21,0.004503262
125,HC,22,0.003720283
125,HC,23,0.004416688
125,HC,3,0.001892403
125,HC,4,0.002148605
125,HC,5,0.00243165
125,HC,6,0.002849499
125,HC,7,0.003280918
125,HC,8,0.003472707
125,HC,9,0.002028361
125,NOx,1,0.00816911
125,NOx,10,0.033582306
125,NOx,11,0.040788014
125,NOx,12,0.044522104
125,NOx,13,0.05140926
125,NOx,14,0.060517993
125,NOx,15,0.071151627
125,NOx,16,0.082503251
125,NOx,17,0.048956032
125,NOx,18,0.144720111
125,NOx,19,0.09839129
125,NOx,2,0.00664462
125,NOx,20,0.095700742
125,NOx,21,0.111346535
125,NOx,22,0.039768349
125,NOx,23,0.038510085
125,NOx,3,0.015820433
125,NOx,4,0.021664301
125,NOx,5,0.025543566
125,NOx,6,0.032036151
125,NOx,7,0.04335927
125,NOx,8,0.050109043
125,NOx,9,0.019254586
125,PM2.5,1,3.01E-05
125,PM2.5,10,8.42E-05
125,PM2.5,11,0.000102107
125,PM2.5,12,0.000114493
125,PM2.5,13,0.000141353
125,PM2.5,14,0.000214767
125,PM2.5,15,0.000297169
125,PM2.5,16,0.000368611
125,PM2.5,17,0.000343839
125,PM2.5,18,0.000253646
125,PM2.5,19,0.000388086
125,PM2.5,2,2.13E-05
125,PM2.5,20,0.000721613
125,PM2.5,21,0.000612133
125,PM2.5,22,0.000670366
125,PM2.5,23,0.001412868
125,PM2.5,3,4.21E-05
125,PM2.5,4,5.40E-05
125,PM2.5,5,6.93E-05
125,PM2.5,6,9.88E-05
125,PM2.5,7,0.000169053
125,PM2.5,8,0.000232521
125,PM2.5,9,6.79E-05
130,CO,1,0.019446184
130,CO,10,0.050301828
130,CO,11,0.05517148
130,CO,12,0.063545631
130,CO,13,0.069229794
130,CO,14,0.087695529
130,CO,15,0.113531765
130,CO,16,0.114549885
130,CO,17,0.090298484
130,CO,18,0.104898683
130,CO,19,0.100917131
130,CO,2,0.026723646
130,CO,20,0.151028208
130,CO,21,0.134445665
130,CO,22,0.192702544
130,CO,23,0.157607629
130,CO,3,0.040458888
130,CO,4,0.052017664
130,CO,5,0.056032333
130,CO,6,0.067059681
130,CO,7,0.07802745
